Wind_power_MW,Solar_power_kW,Consumption_MW
79.04578528,0,39.30
98.91521764,0,44.44
118.3527058,0,47.48
123.1040918,0,45.32
127.4235336,0,45.72
131.7429755,0,43.27
133.4707522,0,37.25
135.6304731,0,31.18
137.790194,0,29.00
138.2221382,0,29.27
139.0860266,0,28.39
139.9499149,0,28.88
138.6540824,0,27.17
137.790194,0,29.00
136.4943615,0,37.15
123.1040918,963.072,41.65
109.281878,1049.6256,41.90
95.89160837,904.32,39.16
93.29994328,943.0272,39.45
90.27633401,1010.4576,42.78
87.68466892,764.3904,41.41
95.02772001,435.7632,40.23
102.3707711,353.664,36.07
109.7138222,0,38.18
106.6902129,0,36.17
104.0985478,0,44.05
101.0749386,0,47.23
96.32355255,0,43.95
91.14022237,0,45.28
85.95689219,0,40.87
85.09300382,0,35.63
84.22911546,0,32.26
83.3652271,0,29.81
84.66105964,0,30.15
85.95689219,0,28.49
86.82078055,0,28.88
73.43051091,0,28.00
60.04024128,0,31.52
46.64997164,0,37.44
60.47218546,1898.9568,41.26
74.29439928,720.6912,45.47
88.1166131,1392.9984,45.57
107.1221571,2344.9344,43.61
126.1277011,735.8208,40.04
145.5651893,307.2,42.88
128.287422,342.912,37.79
111.0096547,149.9904,37.69
94.16383164,0,38.42
77.31800855,0,39.40
60.47218546,0,44.74
43.62636237,0,48.51
37.57914382,0,45.52
31.96386946,0,44.05
26.34859509,0,41.41
27.64442764,0,38.13
28.94026018,0,34.85
30.23609273,0,32.11
45.35413909,0,30.44
60.04024128,0,31.00
75.15828764,0,29.37
77.74995273,0,30.20
80.77356201,0,32.40
83.3652271,0,34.95
79.90967364,335.7696,38.77
76.45412019,1507.968,42.04
73.43051091,1338.9312,43.56
84.22911546,1472.8704,40.82
95.02772001,778.6752,40.87
106.2582687,528.6912,41.85
86.38883637,662.0928,40.72
66.519404,285.7728,37.98
47.08191582,0,38.57
60.47218546,0,38.42
73.8624551,0,41.90
87.68466892,0,48.21
103.6666036,0,43.86
119.2165942,0,42.00
135.1985289,0,40.28
139.9499149,0,38.81
144.2693567,0,32.65
149.0207427,0,30.69
150.7485195,0,30.00
152.044352,0,30.20
153.7721287,0,27.46
155.0679613,0,28.00
155.9318496,0,28.63
157.2276822,0,32.89
133.9026964,1749.5808,33.72
111.0096547,2456.3712,40.33
87.68466892,3525.7344,43.37
79.04578528,5066.0352,44.10
69.97495746,5630.4384,44.35
61.33607382,4781.7984,39.74
62.63190637,3602.8416,40.04
63.92773891,1946.88,37.15
64.79162728,0,38.67
